,speech
221,"{'sdr': 3.5145729780197144, 'r2': 0.6919481754302979, 'rmse': 0.037520733}"
222,"{'sdr': 1.129700094461441, 'r2': 0.564666360616684, 'rmse': 0.049375895}"
223,"{'sdr': 3.319736123085022, 'r2': 0.6823064386844635, 'rmse': 0.038371895}"
224,"{'sdr': 7.8413355350494385, 'r2': 0.85882568359375, 'rmse': 0.022799918}"
225,"{'sdr': 4.200540482997894, 'r2': 0.7245630323886871, 'rmse': 0.034671526}"
226,"{'sdr': 4.205695688724518, 'r2': 0.7247996032238007, 'rmse': 0.03465096}"
227,"{'sdr': 2.7481231093406677, 'r2': 0.6531190872192383, 'rmse': 0.040982068}"
228,"{'sdr': 3.9501240849494934, 'r2': 0.7129079401493073, 'rmse': 0.035685666}"
229,"{'sdr': 2.248472273349762, 'r2': 0.6266164779663086, 'rmse': 0.043408666}"
230,"{'sdr': 5.116640329360962, 'r2': 0.7646117955446243, 'rmse': 0.031200964}"
231,"{'sdr': 6.694225072860718, 'r2': 0.8236684501171112, 'rmse': 0.02601889}"
232,"{'sdr': 3.2416346669197083, 'r2': 0.6783969700336456, 'rmse': 0.03871848}"
233,"{'sdr': 6.403250098228455, 'r2': 0.8137253075838089, 'rmse': 0.026905278}"
234,"{'sdr': 2.9537752270698547, 'r2': 0.6637681722640991, 'rmse': 0.040023148}"
235,"{'sdr': 2.4561183154582977, 'r2': 0.6377336382865906, 'rmse': 0.042383235}"
236,"{'sdr': 8.551853895187378, 'r2': 0.8775182664394379, 'rmse': 0.021009093}"
237,"{'sdr': 7.8398871421813965, 'r2': 0.8587814420461655, 'rmse': 0.022803716}"
238,"{'sdr': 4.746725261211395, 'r2': 0.7489411532878876, 'rmse': 0.03255845}"
239,"{'sdr': 3.778068423271179, 'r2': 0.7047320604324341, 'rmse': 0.0363996}"
240,"{'sdr': 3.1197988986968994, 'r2': 0.6722458899021149, 'rmse': 0.039265405}"
241,"{'sdr': 2.8878387808799744, 'r2': 0.6603710949420929, 'rmse': 0.040328126}"
242,"{'sdr': 7.218695282936096, 'r2': 0.8405287265777588, 'rmse': 0.024494313}"
243,"{'sdr': 1.563550978899002, 'r2': 0.5890454351902008, 'rmse': 0.046970207}"
244,"{'sdr': 3.8031014800071716, 'r2': 0.7059295475482941, 'rmse': 0.036294848}"
245,"{'sdr': 2.287438064813614, 'r2': 0.6287132203578949, 'rmse': 0.043214362}"
